method,N,dx,dt,L1,L2,Linf
Crank-Nicolson,50,1.1999999999999993,0.0015,1.250115454710716,0.5251329380288863,0.3024387780505083
Split-Step-FFT,50,1.1999999999999993,0.0015,1.09231974382275,0.2730408257843018,0.1177244112151153
RK4,50,1.1999999999999993,0.0015,1.2501152429403108,0.5251328377154465,0.30243872686772355
Crank-Nicolson,100,0.6000000000000014,0.0015,0.49011722466394175,0.20848683915279817,0.12352622968093153
Split-Step-FFT,100,0.6000000000000014,0.0015,0.0014869464214543303,0.0002594537465602399,7.035684650094988e-05
RK4,100,0.6000000000000014,0.0015,0.4901143070197904,0.20848557192456213,0.12352561290473654
Crank-Nicolson,200,0.3000000000000007,0.0015,0.14116822457827646,0.05923007706473212,0.03723339365921062
Split-Step-FFT,200,0.3000000000000007,0.0015,4.486809967674032e-13,6.988961702930037e-14,2.3168942125048144e-14
RK4,200,0.3000000000000007,0.0015,0.14116148955464822,0.05922715723122595,0.037231471437202644
Crank-Nicolson,400,0.14999999999999858,0.000899999999999983,0.03656470200020502,0.015214023144953565,0.009656266726370762
Split-Step-FFT,400,0.14999999999999858,0.000899999999999983,6.962297298996279e-13,1.0888130373285883e-13,3.9405642703021866e-14
RK4,400,0.14999999999999858,0.000899999999999983,0.0365617069984099,0.015212735279607467,0.009655397001689988
