method,N,dx,dt,r_dt_over_dx2,mass,max_amp,stable
FTCS,64,0.625,0.001,0.00256,1.0064984811586406,0.7099008910357341,True
Backward-Euler,64,0.625,0.001,0.00256,0.9935811470628961,0.7042869972458979,True
Crank-Nicolson,64,0.625,0.001,0.00256,1.0000000000000395,0.7070807181781835,True
Split-Step-FFT,64,0.625,0.001,0.00256,1.0000000000003264,0.5576676576980213,True
RK4,64,0.625,0.001,0.00256,0.9999999999999949,0.707080383071044,True
FTCS,64,0.625,0.004,0.01024,1.026483631528098,0.7185276984007023,True
Backward-Euler,64,0.625,0.004,0.01024,0.9747907481714526,0.6960669943500956,True
Crank-Nicolson,64,0.625,0.004,0.01024,0.9999999999998823,0.7070857437655292,True
Split-Step-FFT,64,0.625,0.004,0.01024,1.0000000000000864,0.5576676576979357,True
RK4,64,0.625,0.004,0.01024,0.999999999991551,0.7070803831964763,True
FTCS,64,0.625,0.01,0.0256,1.0687691793952647,0.7365475722547267,True
Backward-Euler,64,0.625,0.01,0.0256,0.9392071669423846,0.6803242574379383,True
Crank-Nicolson,64,0.625,0.01,0.0256,1.000000000000015,0.7071138514806181,True
Split-Step-FFT,64,0.625,0.01,0.0256,1.0000000000000324,0.5576676576979193,True
RK4,64,0.625,0.01,0.0256,0.9999999991751316,0.7070803875795675,True
FTCS,64,0.625,0.02,0.0512,1.146776168344465,0.7689706654053657,True
Backward-Euler,64,0.625,0.02,0.0512,0.8852924450283497,0.656019823360147,True
Crank-Nicolson,64,0.625,0.02,0.0512,1.0000000000000036,0.7072137443593247,True
Split-Step-FFT,64,0.625,0.02,0.0512,1.0000000000000182,0.5576676576979142,True
RK4,64,0.625,0.02,0.0512,0.9999999736176102,0.7070804442017158,True
FTCS,64,0.625,0.04,0.1024,1.3305906281240403,0.84371709196735,True
Backward-Euler,64,0.625,0.04,0.1024,0.7966355803134781,0.6158891394980474,True
Crank-Nicolson,64,0.625,0.04,0.1024,1.0000000000000036,0.70950753063889,True
Split-Step-FFT,64,0.625,0.04,0.1024,1.0000000000000084,0.5591039680080425,True
RK4,64,0.625,0.04,0.1024,0.9999991687131935,0.7090667985094058,True
FTCS,64,0.625,0.08,0.2048,1.9203771046604818,1.0361228026911808,False
Backward-Euler,64,0.625,0.08,0.2048,0.6588051329803059,0.5463265905237717,True
Crank-Nicolson,64,0.625,0.08,0.2048,0.9999999999999984,0.7069654975045733,True
Split-Step-FFT,64,0.625,0.08,0.2048,1.0000000000000044,0.5559589684124433,True
RK4,64,0.625,0.08,0.2048,0.9999729050330362,0.7046558613581413,True
FTCS,96,0.41666666666666785,0.001,0.005759999999999967,1.0086469366522866,0.6441565422974692,True
Backward-Euler,96,0.41666666666666785,0.001,0.005759999999999967,0.991519525399401,0.6378844800684729,True
Crank-Nicolson,96,0.41666666666666785,0.001,0.005759999999999967,0.9999999999998933,0.6409981587072892,True
Split-Step-FFT,96,0.41666666666666785,0.001,0.005759999999999967,0.9999999999999116,0.5588274084161603,True
RK4,96,0.41666666666666785,0.001,0.005759999999999967,0.9999999999999682,0.6409965499920247,True
FTCS,96,0.41666666666666785,0.004,0.02303999999999987,1.0356352079009583,0.6539406046752494,True
Backward-Euler,96,0.41666666666666785,0.004,0.02303999999999987,0.9670314814176579,0.6288208506142401,True
Crank-Nicolson,96,0.41666666666666785,0.004,0.02303999999999987,0.9999999999999819,0.6410222864151075,True
Split-Step-FFT,96,0.41666666666666785,0.004,0.02303999999999987,0.9999999999999816,0.5588274084161727,True
RK4,96,0.41666666666666785,0.004,0.02303999999999987,0.9999999999681966,0.6409965517443242,True
FTCS,96,0.41666666666666785,0.01,0.05759999999999967,1.094809037917375,0.6750494074376718,True
Backward-Euler,96,0.41666666666666785,0.01,0.05759999999999967,0.9219737004260125,0.6118023766792313,True
Crank-Nicolson,96,0.41666666666666785,0.01,0.05759999999999967,0.9999999999999616,0.6411572929961363,True
Split-Step-FFT,96,0.41666666666666785,0.01,0.05759999999999967,0.9999999999999913,0.5588274084161742,True
RK4,96,0.41666666666666785,0.01,0.05759999999999967,0.9999999968951677,0.6409966181760851,True
FTCS,96,0.41666666666666785,0.02,0.11519999999999934,1.2121039336168142,0.7274170184270315,True
Backward-Euler,96,0.41666666666666785,0.02,0.11519999999999934,0.8567135658604329,0.5861950587307231,True
Crank-Nicolson,96,0.41666666666666785,0.02,0.11519999999999934,0.9999999999999769,0.6416379388787022,True
Split-Step-FFT,96,0.41666666666666785,0.02,0.11519999999999934,0.9999999999999971,0.5588274084161747,True
RK4,96,0.41666666666666785,0.02,0.11519999999999934,0.99999990074669,0.6409976239535177,True
FTCS,96,0.41666666666666785,0.04,0.2303999999999987,1.5384491406008598,0.869809197593257,True
Backward-Euler,96,0.41666666666666785,0.04,0.2303999999999987,0.7561936196717899,0.5439887149880566,True
Crank-Nicolson,96,0.41666666666666785,0.04,0.2303999999999987,1.0000000000000029,0.646879785388386,True
Split-Step-FFT,96,0.41666666666666785,0.04,0.2303999999999987,0.9999999999999986,0.5618539522586224,True
RK4,96,0.41666666666666785,0.04,0.2303999999999987,0.9999968791362045,0.6445021798683659,True
FTCS,96,0.41666666666666785,0.08,0.4607999999999974,3.2306210579675483,1.397857810172924,False
Backward-Euler,96,0.41666666666666785,0.08,0.4607999999999974,0.6128295536208446,0.48441347650242894,True
Crank-Nicolson,96,0.41666666666666785,0.08,0.4607999999999974,0.9999999999999949,0.6472890694931018,True
Split-Step-FFT,96,0.41666666666666785,0.08,0.4607999999999974,0.9999999999999989,0.5555774739667305,True
RK4,96,0.41666666666666785,0.08,0.4607999999999974,0.9998992249434077,0.6372671675314578,True
FTCS,128,0.3125,0.001,0.01024,1.009576471406934,0.6075702924603591,True
Backward-Euler,128,0.3125,0.001,0.01024,0.9906414279155504,0.6016439343844419,True
Crank-Nicolson,128,0.3125,0.001,0.01024,0.9999999999995339,0.604592451540405,True
Split-Step-FFT,128,0.3125,0.001,0.01024,1.0000000000003542,0.558081613411702,True
RK4,128,0.3125,0.001,0.01024,0.9999999999999497,0.6045907941544564,True
FTCS,128,0.3125,0.004,0.04096,1.0396955056355082,0.6167098840684812,True
Backward-Euler,128,0.3125,0.004,0.04096,0.963798461916482,0.5929940203809192,True
Crank-Nicolson,128,0.3125,0.004,0.04096,0.999999999999997,0.6046173143060051,True
Split-Step-FFT,128,0.3125,0.004,0.04096,1.000000000000095,0.5580816134116231,True
RK4,128,0.3125,0.004,0.04096,0.999999999947792,0.6045907959753847,True
FTCS,128,0.3125,0.01,0.1024,1.107038201281397,0.6359419525541102,True
Backward-Euler,128,0.3125,0.01,0.1024,0.9150678982160404,0.5765073136588268,True
Crank-Nicolson,128,0.3125,0.01,0.1024,1.0000000000000175,0.604756610207784,True
Split-Step-FFT,128,0.3125,0.01,0.1024,1.0000000000000373,0.5580816134116059,True
