method,N,dx,dt,L1,L2,Linf
Crank-Nicolson,50,1.1999999999999993,0.003,1.2521151784654816,0.5258311567128308,0.3027846198701887
Split-Step-FFT,50,1.1999999999999993,0.003,1.0936615070573799,0.2732540561275927,0.11773423805974748
RK4,50,1.1999999999999993,0.003,1.2521143302395539,0.5258307548403752,0.30278441473031653
Crank-Nicolson,100,0.6000000000000014,0.003,0.4910689237100497,0.20884991558859847,0.12378501825098896
Split-Step-FFT,100,0.6000000000000014,0.003,0.001488858671478339,0.0002596869616301238,7.035897111459174e-05
RK4,100,0.6000000000000014,0.003,0.49105723492043885,0.2088448396285507,0.12378254518105634
Crank-Nicolson,200,0.3000000000000007,0.003,0.1414860543052114,0.05934902050351815,0.037285439032504135
Split-Step-FFT,200,0.3000000000000007,0.003,2.1217919710590416e-13,3.292715152988436e-14,1.1980391091987778e-14
RK4,200,0.3000000000000007,0.003,0.1414590594282681,0.059337320576779255,0.03727773520758652
Crank-Nicolson,400,0.14999999999999858,0.0013499999999999743,0.03659200272129891,0.015224185538527033,0.00966297975878574
Split-Step-FFT,400,0.14999999999999858,0.0013499999999999743,3.935201288004331e-13,5.66739829274788e-14,1.6086080223132093e-14
RK4,400,0.14999999999999858,0.0013499999999999743,0.036585259530755046,0.015221286222689841,0.00966102179711267
